,content
0,"Check-in was quiet smooth however departure was little delayed by 15 minutes. During turbulence weather, they instruct not to use toilets and the same continues for more than half an hour despite that the turbulence weather is now clear.
Flight lands at Domestic Terminal in Mumbai however since flight takes-off from International Terminal from Delhi, passengers are transferred to International...
"
1,"Air India have nowadays got an authority of being late as always and minimum 30 minutes late is standard on their profile across all sectors.
Check-in was smooth however flight though arrived on time for departure it was delayed by ground staff for non-complaince of proper parking. As usual flight was delayed and finally when it was ready for departure,...
"
2,"Good planes, Good food, good baggage allowance. What else can one ask for? On time service. The air hostesses were doing their job well, looking after small children's needs etc. - but if you pressed the button to call them, there was often no response.
"
3,"The airlines offers more than ten flights a day between Delhi and Mumbai. The leg space in business class is very good and seats very comfortable. The lounge at T3 and Mumbai both are very good and comfortable. The service offered is excellent and in flight services like magazines, meals etc are better than any other airlines.
"
4,"i am big fan of Air India , staff is not glamorous but they know there job , food on board is nice, ground staff is very precise and confident, aircraft is specious seats are comfortable and had more leg space then others flights.
in flight magazines are informative overall decent flight
"
5,"luckly i got dreamliner air bus which was excellent.a very very comfortable and pleasing one.i would like to again on this flight.
"
6,"I recently went to mumbai on official visit. My seat was upgraded to Business Class. Experience of my life time. Service was excellent. Value for money. They offered welcome drink on arrival and than variety of magazine to choose. Enough meal for one person.
"
7,"Well priced flight with efficient service.In flight entertainment a little weak and the food very much for Asian palate.Overall for the price and the clean pleasant flight a good deal.I would use them again without a second thought.
"
8,"Air career was old, white color is converted to yellow. also air bus 320 was not managed properly
however food was good(as compared to other flights) and crew members was also helpful and gentle.
Men are also there in crew members just like air hostess.. but over all a good flight but needed maintenance
"
9,"Price was thousands less than other competitors that service this region. Flight went smooth both directions. Seats were broken. First seat I had would not lay down into a bed. The second seat would not return to seating position. Luckily flight was not full and I could change between seats. Staff was courteous and they certainty did a wonderful job...
"
10,"Smooth flight, good ground service, great food however... never flown on a plane with visible rust, dirt everywhere and probably due to the pollution in the air - the plane looked awfully dirty (matte no shiny if you know what I mean) on the outside. Bad impression aesthetically.
"
11,"Excellent service by the airlines. More leg room with comfortable seats. Good care for Wheelchair passengers. Had very comfortable journey for both ways. Chennai/Singapore and back
"
12,"The flight departed & landed on time. The food was decent. The staff was courteous. The only thing that needs to change is the air hostess's uniform!
"
13,"I travelled in Air India once from Kolkata to Delhi in July 2017. It was a Boeing. I loved their environment, food and service. It was clean too. It's owned by the Indian government. Definitely will travel again and again.
"
14,"I was looking forward to flying with air India but this was not a nice experience. I felt the two male stewards had a arrogant approach to customers and the plane was not cleaned from the previous flight. Headrest covers not exchanged, messy newspapers from previous passengers in the brochure pouch in most seats. When I opened my tray for...
"
15,"Horrible service , flight delayed first for 50 mins then for 2 hrs 30 mins , staff non approachable ,as expected staff over d desk rude and not listening to the passengers , don’t know why I decided to take air India never have I experienced this attitude with d other domestic airlines ,
Was suppose to give surprise to...
"
16,"Seats and interior of the plane were very dirty. The head-rests were not changed when we boarded the plane nor when we landed and plane took addditional passengers from Chennai to Mumbai. The food tray holder had someone’s chewing gum attached to it. The pocket in front of me was broken. It was full of used newspapers and very stained...
"
17,"I flew business class from Delhi to Trivandrum and I would say the service and equipment was barely economy class standards for business class. There was no boarding order so business class passengers ended up boarding with everyone else in the chaotic line. And the seat and equipment was really old. The food was not edible. I’m sad to say...
"
18,"Flight was on time, plane was clean with good leg space. The ground staff at Bhubneshwar was helpful and check in was smooth.
The food was hot and tasty, though they were slow in serving the food.
Overall a nice experience and will fly again with them.
"
19,"There is only 1 direct flight from Rajkot to Delhi and hence, a natural choice for a passenger flying between the 2 cities.
Flight scheduled to depart at 7.30 pm, got rescheduled to 8.15 pm and then again delayed to 8.45 pm and finally took off at 8.55 pm
Of late, most of the evening flight of Air India, Jet...
"
20,"Over the last one year Air India has really improved it's service quality. The flight was ontime. The boarding was hassle free.
The aircraft looked new and in good condition. They are clearly better than Jet Airways.
"
21,"This must be one of the rudest, worst airlines I have travelled in. We prebooked certain seats, and as we were standing at the counter to get our entry tickets the counter next door gave our pre-booked seats away- of course one knows when you see the same people sitting on the seats in the plane. The counter attendant's version...
"
