,content,Sentiment
0,"Check-in was quiet smooth however departure was little delayed by 15 minutes. During turbulence weather, they instruct not to use toilets and the same continues for more than half an hour despite that the turbulence weather is now clear.
Flight lands at Domestic Terminal in Mumbai however since flight takes-off from International Terminal from Delhi, passengers are transferred to International...
",Negative
1,"Air India have nowadays got an authority of being late as always and minimum 30 minutes late is standard on their profile across all sectors.
Check-in was smooth however flight though arrived on time for departure it was delayed by ground staff for non-complaince of proper parking. As usual flight was delayed and finally when it was ready for departure,...
",Negative
2,"Good planes, Good food, good baggage allowance. What else can one ask for? On time service. The air hostesses were doing their job well, looking after small children's needs etc. - but if you pressed the button to call them, there was often no response.
",Positive
3,"The airlines offers more than ten flights a day between Delhi and Mumbai. The leg space in business class is very good and seats very comfortable. The lounge at T3 and Mumbai both are very good and comfortable. The service offered is excellent and in flight services like magazines, meals etc are better than any other airlines.
",Positive
4,"i am big fan of Air India , staff is not glamorous but they know there job , food on board is nice, ground staff is very precise and confident, aircraft is specious seats are comfortable and had more leg space then others flights.
in flight magazines are informative overall decent flight
",Positive
5,"luckly i got dreamliner air bus which was excellent.a very very comfortable and pleasing one.i would like to again on this flight.
",Positive
6,"I recently went to mumbai on official visit. My seat was upgraded to Business Class. Experience of my life time. Service was excellent. Value for money. They offered welcome drink on arrival and than variety of magazine to choose. Enough meal for one person.
",Positive
7,"Well priced flight with efficient service.In flight entertainment a little weak and the food very much for Asian palate.Overall for the price and the clean pleasant flight a good deal.I would use them again without a second thought.
",Positive
8,"Air career was old, white color is converted to yellow. also air bus 320 was not managed properly
however food was good(as compared to other flights) and crew members was also helpful and gentle.
Men are also there in crew members just like air hostess.. but over all a good flight but needed maintenance
",Positive
9,"Price was thousands less than other competitors that service this region. Flight went smooth both directions. Seats were broken. First seat I had would not lay down into a bed. The second seat would not return to seating position. Luckily flight was not full and I could change between seats. Staff was courteous and they certainty did a wonderful job...
",Positive
10,"Smooth flight, good ground service, great food however... never flown on a plane with visible rust, dirt everywhere and probably due to the pollution in the air - the plane looked awfully dirty (matte no shiny if you know what I mean) on the outside. Bad impression aesthetically.
",Negative
11,"Excellent service by the airlines. More leg room with comfortable seats. Good care for Wheelchair passengers. Had very comfortable journey for both ways. Chennai/Singapore and back
",Positive
